similar,"n. 类似物
adj. 相似的"
the other day,"na. 上回
"
private school,"n. 私立学校
"
public school,"n. 公学（在英国，尤其是英格兰，为 13 到 18 岁青少年开办的私立付费学校，学生常寄宿）
"
primary education,"na. 初等教育
"
primary school,"n. 小学
"
elementary education,"na. 初等教育
"
elementary school,"n. （美国）小学
"
secondary education,"n. 中等教育
"
secondary school,"n. 中学；中等学校
"
junior high school,"n. （美国）初级中学
"
senior high school,"n. （美国）高中
"
further education,"n. 继续教育
"
physical education,"n. 〔体〕体育教学
"
track and field,"n. 田径运动
"
school year,"na. 学年
"
academic year,"n. 学年
"
student union,"na. 〈美〉(大学生)学生活动大楼
"
beginning courses,无
basic courses, 所学主干课程；基础课程；基本课程
advanced courses,无
required courses, 必修课程；必修科目；专业必修科目
compulsory courses,无
optional courses, 选修课；选修课程；进修课
online courses,网络课程（online course的复数）
academic performance, 学业上的表现；学习成绩；学业成绩
record card,"un. 记录卡
"
all-round ability,无
open-book exams,无
close-book exams,无
make-up exams,无
an academic essay,无
a research project,无
data analysis,"n. 数据分析；资料分析
"
a technical term,无
graduation ceremony,"n. 毕业典礼
"
a high school diploma,无
a high college diploma,无
Bachelor of Arts,"na. 文学士
"
BA,abbr. 文学士（Bachelor of Arts）
Bachelor of Science,"na. 理学士
"
BSc,二元同步通信
BS,abbr. 英国标准（British Standard）；理学士（Bachelor of Science）
Master of Arts,"na. 文科硕士
"
MA,abbr. 文学硕士（Master of Arts）；磁放大器（magnetic amplifier）；主报警信号（main alarm）
Master of Science,"na. 理科硕士
"
MSc,abbr. 理科硕士（master of science）；（美国）载人航天中心（manned spacecraft center）；最高有效字符
MS,abbr. 存贮系统（Memory System）；主存储器（Main Storage）；主程序装置（Master Sequecer）；中速，平均速度（Medium Speed）；主（总）开关（Master Switch）
overseas students, 留学生；海外留学生；外国留学生
foreign students,n. 外国学生；外国留学生（foreign student的复数）
high season,"n. （旅馆或旅游地区的）旺季
"
peak season,"n. 旺季
"
low season,"n. （旅馆或旅游地区的）淡季
"
off season,"n. （生意和旅游的）淡季；（夏季的）比赛淡季
adj. 淡季
"
summer vacation,"n. 暑假
"
travel agency,"n. 旅行社
"
travel agent's,"na. (旅行社的)旅行代理人
n. 旅行社；旅行代办人；旅行代理商
"
a tour guide,无
public transport,"n. 公共交通；公交车辆
"
public transportation,"un. 公共交通
"
traffic lights,"n. 交通信号灯；红绿灯
"
zebra crossing,"n. 斑马线；人行横道
"
taxi stand,"na. “taxi rank”的变体
"
bus station,"n. 公共汽车站；（尤指）长途汽车站
"
railway station,"n. 火车站
"
gas station,"n. （汽车）加油站
"
booking office,"n. （车站、剧院等的）售票处
"
ticket office,"na. 票房
"
driving licence,"n. 驾照；驾驶执照
"
driver's licence,"驾照
驾驶证
驾驶执照"
traffic jam,"n. 堵车；交通阻塞
"
rush hour,"n. (上,下班的)高峰期
"
non-stop flight,不着陆飞航
non-stop train,n. 直达列车
direct flight,n. 直航：飞行于两地之间，经停一个或以上机场，但不更换航班号或飞行器的航班
first class,"n. 头等座位（或车厢、舱）；第一类邮件（在英国投递最快的邮件）
adv. 乘坐头等座位（或车厢、舱）；（英国）按最快投递邮件
"
VIP class,无
business class,"n. 商务舱
"
tourist class,"n. （飞机、轮船的）二等舱（或票）；（旅馆的）旅游客房
"
economy class,"na. 二等舱
"
single ticket,"na. 单程车票
"
one-way ticket,n. 单程票
return ticket,"n. 往返票
"
round-trip ticket, 往返票，双程票
historic spot,古迹
tourist spot, 旅游景点；旅游点；观光景点
cultural sites,无
places of interest,"un. 名胜
"
places of great interest,无
theme park,"n. 主题公园
"
twin room,"n. 双人房
"
double room,"n. 双人房间
"
single room,"un. 单人房间
"
room service,"n. （旅馆）客房送餐服务
"
business hours,"n. 营业时间；办公时间
"
hit songs, 畅销歌曲；热门歌曲；劲歌金曲
action film,"na. (电影的)动作片
"
action movie,"n. 动作影片
"
folk art,"n. 民间艺术
"
art gallery,"n. 美术馆；艺术展览馆
"
work of art,"n. 艺术品；（绘画、雕塑等）艺术作品；令人赏心悦目的东西；精致的物品
"
artistic work,无
modern sculpture, 现代雕塑；现代雕塑研究；现代雕刻
oil painting,"n. 【画】油画；【画】油画艺术
"
art museum,"n. 美术馆
"
concert hall,"na. 音乐堂[厅]
"
live concert, 现场演唱会；现场音乐会；现场演出实况
folk music,"n. 〔音〕民间音乐
"
folk song,"n. 民歌；民谣
"
classical music,"na. 古典音乐
"
pop music,"n. 流行乐曲
"
opera house,"n. 歌剧院
"
exhibition hall,"un. 展览馆
"
mass media,"n. 大众传媒
"
traditional media, 传统媒体；传统绘画；传统传媒
new media,"n. 新媒体（像互联网、光盘和数字电视等新的信息和娱乐技术）
"
best seller,"na. 畅销书；畅销货；畅销书作者
"
TV channel,"un. 电视通道
"
front page,"n. （报纸的）头版
"
headline news, 标题新闻；头条新闻；头版头条新闻
current affairs,"n. 时事
"
chat show,"n. （电视或电台的）访谈节目
"
a reality show,无
a talk show,无
a quiz show,无
science fiction,"n. 科幻小说；科幻电影
"
body language,"n. 身势语
"
native language,"n. 本族语
"
mother tongue,"n. 母语；本国语
"
fairy tale,"n. 童话故事；虚构的故事；妄言
"
computer games,"un. 计算机游戏
"
video games,"un. 视频游戏；电视游戏
"
sun bath,"na. sunbathing 日光浴
"
water recreation,无
fishing industry, 渔业；渔业拖网；捕鱼业
farming products,无
senior manager, 高级经理；资深经理；高级管理人员
sales manager,"un. 销售经理；销售主管
"
human resource,"n. 〔经〕人力资源
"
job vacancy,"un. 职务空位
"
employment agency,"n. 职业介绍所
"
work experience,"n. 工作经历；（学生）实习
"
job interview,"na. 对申请工作者的口头审查
"
job offer,"n. 工作录用函；聘任书；工作机会
"
business culture, 企业文化；商业文化；商务文化
working condition,"un. 工作条件；生产条件；工作情况；工作状况
"
sick leave,"n. 病假；病假期
"
working hours,"na. 工作时间
"
work schedule,"un. 工作进度表；工作时间表；工作时序；施工进度表
"
business trip, 商务旅行；出差；公务旅行
day shift,"un. 白班
"
night shift,"na. 夜班(时间)；〈集合词〉夜班工人
"
flexible working hours,"un. 弹性工时；机动工时
"
natural resources,"na. 自然资源；天然资源
"
water shortage,"n. 水荒
"
fresh water,"adj. 淡水的；不熟练的；不知名的
"
underground water,"na. 地下水
"
tap water,"n. 自来水
"
bottled water, 瓶装水；瓶装饮用水；矿泉水
boiled water,"n. 开水
"
solar power,"n. 太阳能
"
solar energy,"na. 太阳能
"
wind power,"un. 风力
"
water power,"n. 水力；水能
"
nuclear power,"na. 核大国
"
electric power,"na. 电力
"
a power station,无
a power plant,无
renewable resources,"un. 可恢复的资源；可更新资源
"
extreme weather,"un. 极端恶劣气候
"
heavy rain,"n. 大雨
"
snow storm,"un. 雪暴
"
sand storm,"n. 沙尘暴
"
global warming,"n. 全球（气候）变暖；地球大气层变暖
"
greenhouse effect,"n. 温室效应
"
soil pollution,"un. 土壤污染
"
water pollution,"n. 水污染
"
light pollution,"n. 光污染（人工照明造成）
"
noise pollution,"na. 噪音污染
"
air pollution,"na. 大气污染
"
carbon dioxide,"n. 二氧化碳
"
environmental damage,"un. 环境损害；环境破坏
"
endangered species,"na. 【生】濒危物种
"
a nature reserve,无
recycled materials, 回收的材料；循环再用的物料；再生材料
cell phone,"n. 手机；移动电话
"
mobile phone,"n. 手机；移动电话
"
pay phone,"na. 公用自动收费电话亭
"
human being,"adj. 人的；有人性的；显示人类特点的
n. 人类
"
human race,"n. 人类
"
ID card,"n. 身份证
"
family name,"n. 姓
"
family tree,"n. 谱系图
"
given name,"na. 名字
"
first name,"n. 名字
"
people with disabilities, 残疾人；身心障碍者；残障人士
disabled people, 残疾人；残障人士；用法残疾人
personal affair,无
heart disease,"na. 心脏病
"
heart attack,"n. 心脏病发作
"
aches and pains, 痛苦；周身疼痛；各种各样的病痛
mental illness,"n. 精神病
"
mental health,"un. 心理卫生；精神卫生
"
health center,"un. 卫生所；卫生院；医疗站
"
waiting room,"n. 候诊室；等候室；候车室
"
emergency room,"n. （医院）急诊室
"
emergency treatment,"na. 紧急治疗
"
medical care,"un. 医疗
"
junk food,"n. 垃圾食品
"
ground floor,"n. 底层
"
first floor,"n. 地面以上的一层；底层
"
second floor,"na. 〈美〉二楼；〈英〉三楼
"
living room,"n. 客厅；起居室
"
sitting room,"na. 起居室
"
dining room,"n. 饭厅；餐厅
"
washing machine,"n. 洗衣机
"
fast food restaurant, 快餐店；速食店；速食餐厅
shopping mall,"un. 商业区林荫路
"
department store,"n. 百货公司；大百货商店
"
jewelry store, 珠宝店；经营珠宝项链店；首饰店
chain store,"n. 连锁商店
"
checkout counter,"un. 结帐柜台
"
parking lot,"n. 停车场
"
online shopping, 网上购物；网购；线上购物
post code,"un. 邮区编码
"
zip code,"n. 邮政编码；邮编
"
a voluntary organization,无
voluntary work, 义工；义务工作；志愿工作
wedding ceremony,"n. 婚礼
"
opening ceremony,"n. 开幕典礼
"
fire escapes,"na. (防火)太平门[梯]
"
fire exit,"n. 太平门
"
first aid,"n. 急救
"
common sense,"n. 常识
"
sense of responsibility, 责任感；责任心；责任意识
as if,"na. 彷佛；活像
"
as though,"na. 好像；见 well 条
"
as long as,"conj. 只要
"
so long as,"na. 只要；“as/so long as”的变体
"
as soon as,"na. 一…就；见 soon 条
"
but for,"na. 要不是；除…而外
"
even if,"na. 即使…也
"
even though,"na. “even if”的变体
"
ever since,"na. 从…以来
"
if only,"na. 只要；只要…就好了
"
in order that,"na. 以便
"
instead of ...,"na. 对某人很有用
"
no longer,"na. 不再
"
not ... any longer,"adv. 不再
"
now that,"na. 由于
"
rather than,"na. 而不
"
would rather than,宁愿...而不愿；与其…不如
so that,"conj. 因此；以便
"
so ... that ...,"所以,因而"
soon after,"na. 不久
"
the moment ...,"na. (= as soon as)一…(就)
"
the minute ...,"na. 一…就，当…(即)
"
the moment that ..., 一…就
the minute that ...,"na. 一…就，当…(即)
"
what if ...,"v. 应如何
"
both ... and ...,既...又...
not only ... but also ..., 不仅……而且；不但而且；两个不仅……而且
either ... or ...,"n. (自动控制)“异”；按位加；二者择一
adj. 二者择一的
"
neither ... nor ..., 既不……也不；两者都不；均不
not ... but ...,"na. not but what… 虽不说不是
"
a bit,"na. 有点儿〔作副词用〕
"
a little,"n. 一点
"
a little bit,"n. 一点
"
a bit of,"na. 一点儿
"
a few,"na. 几个；〔反语〕很多；〈俚〉一点点
"
a great deal of,"det. 很多；重重
"
a great many,"na. 很多的
"
a good many,"na. 很多的
"
scores of, 许多；大量；几十个
a handful of,"det. 一把；一小撮；少数
"
a large amount of,"det. 大量
"
a great amount of, 大量的；大部分的；许多的
large amounts of, 不可数名词；大量；表示大量的
a large quantity of,"adj. 大量
"
large quantities of, 大量的；大批；快速搜索大量
a lot of,"det. 许多
"
lots of,"adj. 许多；很多
"
a mass of,"un. 许多
"
masses of, 大多数；大量的；大部分
a number of,"na. 若干；〔口语〕=numbers of 许多的
"
a large number of,"adj. 极多；许多
"
a great number of,"det. 极多；许多
"
plenty of,"na. 很多的
"
dozens of,"adj. 许多
"
hundreds of,"na. 好几百
"
thousands of,"adj. 几千；成千上万
"
millions of,"det. 数百万
"
most of,"adj. 大多数
"
a pair of,"det. 一双
"
a piece of,"det. 一块；一只
"
a couple of,"det. 一对
"
a series of,"na. 一系列；许多
"
a set of,"det. 一套；一副
"
a total of, 总共；总计；总数为
a kind of,"na. 一类；几分；稍稍
"
a type of,"det. 一种
"
a variety of,"det. 种种；形形色色
"
varieties of, 各种各样的；多种多样的；的变种
various,adj. 各种各样的；多方面的
and so on,"na. “And so forth”的变体
"
after all,"na. 毕竟；终究；最后
"
as a consequence of,"prep. 由于…的结果
"
as a result of,"na. (作)为…的结果
"
as a consequence,"adv. 因此
"
as a result,"adv. 结果
"
as a matter of fact,"na. 事实上；事实是
"
as a whole,"na. (作为一个)整体
"
as far as,"na. 远到；就；尽；至于
"
as far as I am concerned, 就我而言；就个人而言；据我所知
as far as I know,"na. (= so far as I know)就我所知
"
as follows,"na. 如下；以下
"
as soon as possible,"na. 尽快
"
as to,"na. 〈正式〉至于；说到
"
as for,"na. 至于
"
as usual,"adv. 照常；照例
"
as well as,"na. 和…一样；…不用说
"
and,"conj. 和，与；就；而且；但是；然后
"
as well,"na. 也；同样
"
too,adv. 太；也；很；还；非常；过度
as ... as possible,"na. 尽(快)
"
as ... as one can,无
each other,"pron. 彼此
"
